iter	Passed	Remaining
0	159	318477
1	173	173740
2	180	120116
3	186	93173
4	193	77149
5	199	66210
6	205	58570
7	212	52975
8	219	48515
9	226	45004
10	231	41937
11	237	39419
12	244	37369
13	250	35526
14	256	33936
15	261	32484
16	267	31243
17	273	30109
18	279	29111
19	285	28266
20	291	27445
21	297	26712
22	302	26041
23	308	25423
24	314	24878
25	320	24328
26	326	23839
27	332	23390
28	338	22976
29	343	22584
30	350	22232
31	355	21882
32	362	21588
33	368	21284
34	374	21020
35	380	20780
36	387	20553
37	393	20320
38	399	20071
39	405	19871
40	411	19665
41	418	19503
42	425	19352
43	431	19196
44	438	19060
45	444	18875
46	450	18711
47	455	18542
48	461	18380
49	468	18270
50	474	18151
51	481	18055
52	488	17958
53	495	17866
54	502	17769
55	508	17666
56	515	17575
57	522	17485
58	528	17403
59	535	17308
60	542	17230
61	548	17151
62	555	17075
63	562	17001
64	568	16918
65	574	16839
66	581	16773
67	587	16702
68	594	16640
69	601	16589
70	608	16521
71	614	16458
72	621	16404
73	628	16347
74	634	16297
75	641	16251
76	648	16195
77	654	16137
78	661	16091
79	668	16045
80	675	15992
81	681	15949
82	688	15894
83	694	15846
84	701	15799
85	708	15757
86	714	15711
87	720	15663
88	727	15620
89	733	15575
90	740	15539
91	747	15500
92	753	15456
93	760	15416
94	766	15380
95	773	15347
96	780	15318
97	787	15289
98	794	15253
99	800	15217
100	807	15187
101	814	15150
102	820	15112
103	826	15074
104	833	15044
105	840	15012
106	847	14985
107	853	14952
108	860	14925
109	866	14892
110	873	14859
111	879	14823
112	886	14795
113	892	14767
114	899	14740
115	906	14717
116	912	14687
117	919	14661
118	925	14635
119	932	14609
120	939	14585
121	945	14561
122	952	14531
123	958	14501
124	965	14475
125	971	14451
126	978	14428
127	985	14406
128	991	14379
129	997	14350
130	1004	14329
131	1011	14308
132	1017	14287
133	1024	14264
134	1030	14238
135	1037	14215
136	1044	14196
137	1050	14173
138	1056	14150
139	1063	14126
140	1070	14116
141	1077	14099
142	1084	14082
143	1091	14063
144	1097	14038
145	1104	14029
146	1111	14012
147	1119	14005
148	1125	13985
149	1132	13963
150	1139	13948
151	1145	13930
152	1152	13911
153	1159	13900
154	1166	13888
155	1173	13872
156	1180	13852
157	1186	13832
158	1193	13815
159	1199	13793
160	1206	13781
161	1213	13764
162	1219	13748
163	1226	13733
164	1233	13715
165	1240	13707
166	1247	13691
167	1254	13677
168	1260	13661
169	1267	13643
170	1274	13633
171	1281	13615
172	1287	13601
173	1294	13584
174	1300	13561
175	1307	13548
176	1313	13528
177	1320	13513
178	1325	13486
179	1331	13461
180	1338	13447
181	1344	13429
182	1350	13412
183	1356	13387
184	1362	13365
185	1368	13350
186	1375	13332
187	1381	13314
188	1388	13304
189	1394	13288
190	1401	13273
191	1408	13258
192	1414	13245
193	1421	13229
194	1427	13214
195	1434	13199
196	1440	13183
197	1447	13170
198	1453	13157
199	1460	13142
200	1466	13128
201	1473	13118
202	1480	13103
203	1486	13087
204	1493	13075
205	1500	13063
206	1506	13050
207	1513	13039
208	1520	13027
209	1526	13014
210	1533	13001
211	1540	12991
212	1546	12977
213	1553	12963
214	1559	12947
215	1566	12935
216	1572	12923
217	1579	12908
218	1585	12894
219	1592	12881
220	1598	12867
221	1605	12857
222	1611	12845
223	1618	12829
224	1624	12819
225	1631	12807
226	1638	12797
227	1645	12787
228	1651	12775
229	1658	12765
230	1665	12755
231	1672	12743
232	1679	12733
233	1685	12722
234	1692	12709
235	1698	12696
236	1705	12687
237	1712	12674
238	1718	12664
239	1725	12652
240	1731	12637
241	1738	12625
242	1744	12612
243	1750	12598
244	1757	12591
245	1764	12578
246	1771	12569
247	1777	12557
248	1783	12542
249	1790	12530
250	1796	12520
251	1804	12513
252	1809	12498
253	1815	12482
254	1823	12475
255	1829	12464
256	1836	12454
257	1843	12446
258	1849	12434
259	1856	12424
260	1863	12415
261	1869	12400
262	1876	12391
263	1883	12383
264	1889	12369
265	1895	12356
266	1902	12346
267	1909	12338
268	1915	12327
269	1921	12312
270	1928	12304
271	1934	12291
272	1941	12282
273	1948	12277
274	1955	12268
275	1962	12257
276	1968	12243
277	1975	12236
278	1981	12224
279	1988	12214
280	1994	12201
281	2000	12189
282	2007	12181
283	2014	12173
284	2021	12165
285	2028	12153
286	2033	12138
287	2040	12131
288	2047	12122
289	2054	12113
290	2060	12103
291	2067	12092
292	2073	12082
293	2080	12071
294	2087	12064
295	2094	12055
296	2100	12043
297	2107	12034
298	2112	12020
299	2119	12011
300	2126	12002
301	2132	11992
302	2139	11983
303	2147	11979
304	2154	11971
305	2161	11963
306	2167	11955
307	2173	11940
308	2180	11932
309	2187	11923
310	2194	11915
311	2200	11906
312	2206	11893
313	2212	11879
314	2219	11871
315	2227	11872
316	2234	11860
317	2239	11846
318	2245	11833
319	2252	11826
320	2259	11816
321	2265	11807
322	2272	11796
323	2278	11783
324	2285	11776
325	2291	11767
326	2298	11760
327	2305	11752
328	2312	11743
329	2319	11736
330	2325	11728
331	2332	11720
332	2340	11718
333	2347	11709
334	2354	11702
335	2361	11692
336	2367	11682
337	2373	11672
338	2380	11664
339	2386	11653
340	2393	11642
341	2399	11632
342	2405	11621
343	2412	11612
344	2418	11602
345	2425	11592
346	2431	11584
347	2438	11575
348	2444	11565
349	2451	11557
350	2457	11546
351	2464	11537
352	2471	11529
353	2477	11521
354	2483	11509
355	2490	11501
356	2496	11491
357	2503	11482
358	2509	11472
359	2516	11463
360	2522	11453
361	2529	11443
